ADDRESS_TYPE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,ADDRESS_NUMBER_PREFIX,ADDRESS_NUMBER,ADDRESS_NUMBER_SUFFIX,PREMODIFIER,PREDIRECTIONAL,STREET_NAME,POSTTYPE,POSTDIRECTIONAL,POSTMODIFIER,BUILDING_TYPE,BUILDING_IDENTIFIER,UNIT_TYPE,UNIT_IDENTIFIER,COMPOSITE_UNIT_TYPE,COMPOSIT_UNIT_IDENTIFIER,FULL_ADDRESS
S,3139513.0,1701209.0,39.75757871,-105.00377647,,1750.0,,,,Little Raven,St,,,,,Unit,343,Unit,343,1750 Little Raven St Unit 343
S,3137244.0,1702934.0,39.76234861,-105.01181455,,3215.0,,,N,Tejon,St,,,,,Unit,316,Unit,316,3215 N Tejon St Unit 316
S,3139425.0,1701144.0,39.75740181,-105.00409141,,1750.0,,,,Little Raven,St,,,,,Unit,455,Unit,455,1750 Little Raven St Unit 455
S,3139505.0,1701084.0,39.75723586,-105.00380845,,1750.0,,,,Little Raven,St,,,,,Unit,732,Unit,732,1750 Little Raven St Unit 732
S,3152921.0,1691537.0,39.7308165,-104.95629467,,2601.0,,,E,9th,Ave,,,,,,,,,2601 E 9th Ave
S,3137245.0,1702984.0,39.76248586,-105.01181113,,3215.0,,,N,Tejon,St,,,,,Unit,320,Unit,320,3215 N Tejon St Unit 320
S,3139496.0,1701147.0,39.75740764,-105.00383807,,1750.0,,,,Little Raven,St,,,,,Unit,740,Unit,740,1750 Little Raven St Unit 740
S,3137232.0,1702940.0,39.76236404,-105.01185767,,3215.0,,,N,Tejon,St,,,,,Unit,325,Unit,325,3215 N Tejon St Unit 325
S,3137245.0,1702915.0,39.76229547,-105.01181307,,3215.0,,,N,Tejon,St,,,,,Unit,514,Unit,514,3215 N Tejon St Unit 514
S,3137347.0,1702984.0,39.76248436,-105.01144925,,3215.0,,,N,Tejon,St,,,,,Unit,304,Unit,304,3215 N Tejon St Unit 304
